WMO,CYCLE_NUMBER,Category,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME
6901764,172,1,380,32.972658333333335,26.795871666666667,2018-02-15
6901764,173,1,380,32.91789166666667,27.009148333333332,2018-02-22
6901764,128,1,260,34.67957833333333,29.049651666666666,2017-04-13
6901764,171,1,220,32.987695,27.02487,2018-02-08
6903569,31,1,220,68.00735,-4.11705,2020-10-19
6903569,161,1,220,68.54372,-3.83343,2022-04-25
5906440,76,1,300,39.598,-47.781,2023-04-19
5906440,116,1,420,45.983,-36.946,2024-05-23
5906212,10,1,260,-59.509,-88.697,2020-03-12
5906212,3,0,260,-59.577,-90.715,2019-12-31
5906212,1,0,220,-60.16,-89.026,2019-12-10
5906212,2,0,340,-60.681,-89.666,2019-12-21
5906212,15,0,340,-59.033,-89.883,2020-05-02
5906212,24,0,380,-59.185,-84.132,2020-08-03
5906526,8,1,380,-48.77,45.782,2022-07-21
5906526,70,0,980,-44.266,76.816,2024-04-24
5906526,69,1,980,-45.468,75.402,2024-04-14
5904396,39,1,500,-52.47,-132.5,2014-11-01
5904396,7,0,300,-54.932,-146.336,2014-05-14
5904396,12,1,540,-53.956,-140.699,2014-06-09
5904396,89,1,380,-51.168,-121.034,2015-09-27
5904396,10,2,260,-54.006,-141.835,2014-05-30
5904396,52,1,540,-51.837,-129.582,2015-01-10
5904396,4,1,420,-54.618,-149.732,2014-04-28
5904396,5,1,420,-54.087,-148.271,2014-05-03
5904396,22,1,380,-54.968,-137.594,2014-08-02
5906508,14,1,300,-55.424,129.385,2022-06-26
4903488,45,1,380,53.6923,-18.5425,2024-07-15
5905099,78,1,260,-57.199,-132.633,2019-05-31
5905099,98,1,380,-56.751,-127.671,2019-12-18
5905099,28,1,300,-60.703,-168.673,2018-01-13
5905099,86,1,220,-57.826,-128.819,2019-08-20
5905099,21,0,300,-60.646,-173.581,2017-11-04
5905099,89,1,300,-56.212,-130.679,2019-09-19
5905099,93,1,300,-56.451,-131.773,2019-10-29
6902735,250,1,340,-53.800095,89.38171833333334,2018-10-10
6902735,270,1,460,-55.077526666666664,93.26912,2018-11-19
6902735,249,1,380,-53.78051,89.09523333333334,2018-10-08
6902735,271,1,340,-55.316315,93.27426166666666,2018-11-21
6902735,312,1,380,-54.98572,93.43389,2019-02-11
6990505,61,1,300,-10.628600666666667,48.7539695,2024-05-13
6990505,62,1,940,-11.1674755,47.20078483333334,2024-05-22
6990505,37,1,300,-14.285089,51.65615016666667,2023-09-24
5903593,245,1,500,-48.766,141.162,2015-09-05
5903593,250,1,460,-51.27324383880471,141.60660744406246,2015-10-02
5903593,184,1,420,-47.154,110.018,2014-10-22
5906036,9,1,500,-36.623,25.238,2019-07-28
5905130,19,1,660,-32.218,12.335,2018-03-10
5905501,32,1,820,-44.68569333333333,150.13835333333333,2022-05-06
5905501,67,1,380,-46.09426833333334,151.49968833333332,2022-06-27
5905501,26,1,220,-44.872385,150.3057816666667,2022-04-27
5905501,74,1,420,-46.40353333333333,152.2926,2022-07-08
5905501,63,1,380,-45.581990000000005,151.71156166666665,2022-06-21
6901528,68,1,220,33.658195,28.674156666666665,2014-01-30
7900585,13,1,260,50.30645,-37.96056,2021-08-24
7900585,74,1,460,51.05154,-39.6321,2021-12-24
7900585,157,1,500,57.28773,-22.60493,2023-01-21
7900585,4,1,300,49.63913,-38.42104,2021-08-06
7900585,65,1,380,50.53726,-38.91712,2021-12-06
7900585,140,1,220,53.80252,-28.23025,2022-10-27
7900585,175,1,220,57.64628,-23.44324,2023-04-21
7900585,152,1,460,55.95427,-25.75645,2022-12-26
7900585,104,1,260,51.03337,-35.26421,2022-04-30
7900585,133,1,340,52.74017,-26.68044,2022-09-22
7900585,197,1,420,57.70476,-27.2762,2023-08-09
7900585,179,1,300,58.03078,-24.8894,2023-05-11
7900585,105,1,340,51.24893,-35.25853,2022-05-05
7900585,112,1,260,51.58376,-32.69939,2022-06-09
7900585,128,1,300,52.27456,-28.2222,2022-08-28
7900585,123,1,300,52.2826,-30.87551,2022-08-03
7900585,147,1,260,54.86886,-27.14467,2022-12-01
7900585,110,1,300,51.57974,-33.55576,2022-05-30
7900585,228,1,260,57.48507,-28.76136,2024-01-11
7900585,111,1,260,51.5812,-33.10809,2022-06-04
7900585,106,1,260,51.37506,-35.27306,2022-05-10
7900585,193,1,300,57.87187,-27.14308,2023-07-20
7900585,126,1,340,52.56913,-29.29093,2022-08-18
7900585,219,0,340,57.35944,-29.3184,2023-11-27
7900585,220,1,380,57.47752,-29.36764,2023-12-02
7900585,73,1,500,51.04134210127644,-39.578172273706905,2021-12-22
7900585,226,1,460,57.70922,-28.62483,2024-01-01
7900585,207,1,220,57.75018,-28.54634,2023-09-28
7900585,76,0,420,50.93481,-39.57455,2021-12-28
7900585,210,1,540,57.75175,-28.30378,2023-10-13
7900585,192,1,300,57.93477,-27.16426,2023-07-15
7900585,94,1,220,50.03954,-36.20948,2022-03-11
7900585,109,1,300,51.5246,-34.02639,2022-05-25
7900585,181,1,260,57.68709,-25.08629,2023-05-21
7900585,205,1,260,57.5444,-28.11353,2023-09-18
7900585,82,0,220,49.93506,-38.99941,2022-01-10
5906501,21,1,460,-41.549,39.751,2022-09-27
5906501,15,1,340,-37.653,34.353,2022-07-27
6901523,97,0,620,61.93213,-32.47464,2014-08-29
6901523,73,1,220,60.70574666666667,-37.29098166666667,2014-05-01
6901523,131,1,460,62.227358333333335,-38.66849166666667,2015-04-08
6901523,116,1,580,62.382178333333336,-31.050911666666668,2015-01-31
6901523,117,1,380,62.601906666666665,-31.314693333333334,2015-02-05
6901523,26,0,220,58.116611666666664,-50.564523333333334,2013-07-05
5906553,40,1,380,-59.9556,-102.4712,2024-02-05
5906553,33,0,340,-57.8194,-112.4787,2023-11-25
5906553,51,1,620,-57.8794,-89.0282,2024-05-29
5906553,35,1,420,-58.3682,-108.5241,2023-12-15
5906553,59,1,300,-59.6164,-87.5572,2024-08-19
7900589,108,1,340,52.84921,-45.71317,2022-07-06
5905638,174,1,980,-65.583,149.781,2022-12-22
5905134,121,1,740,-33.437,7.719,2021-01-09
5905134,132,1,860,-31.204,6.289,2021-04-30
5906208,45,1,540,-43.535,70.96,2021-04-03
5906208,40,1,860,-45.244,66.407,2021-02-11
1902602,61,1,500,68.14627833333333,-5.254796666666667,2024-03-15
5904982,19,1,420,-51.826,-51.696,2017-06-28
5904982,24,1,300,-48.272,-54.37,2017-08-17
4903485,51,1,660,26.8322,-16.9931,2024-08-31
6904118,89,1,620,-43.6827,32.26644,2023-05-23
6904118,10,1,420,-32.2401,15.27742,2021-11-25
6904118,87,1,340,-43.7099,30.92722,2023-05-09
6904118,77,1,220,-43.38398,26.56307,2023-03-01
6904118,98,1,620,-42.22198,35.65449,2023-07-24
6904118,99,1,420,-42.20137,36.20726,2023-07-31
6904118,128,0,980,-38.92516,44.8217,2024-02-15
6904118,59,1,500,-39.96805,28.36712,2022-10-28
6904118,62,1,260,-41.03551,30.44906,2022-11-18
6904118,51,1,980,-39.0857,23.52727,2022-09-03
6904118,124,0,660,-39.80564,42.41139,2024-01-19
5906507,197,1,300,37.232,-125.0804,2024-07-08
5906507,153,2,380,36.4541,-125.4926,2023-11-18
5906312,24,1,540,-58.8566,-50.6406,2023-07-07
5906312,39,1,380,-57.1253,-46.1876,2023-12-09
5906312,32,1,700,-59.5158,-48.0653,2023-09-28
5906312,26,1,540,-59.5644,-50.015,2023-07-28
5906312,44,1,420,-56.5338,-41.9683,2024-01-29
5906312,35,1,260,-58.8069,-48.5585,2023-10-29
5906312,48,2,660,-55.6077,-41.9895,2024-03-10
