depth,longitude,latitude,fseq,depth_meters
0,3,21,0.0,4.93454087
0,3,22,0.0,4.93454087
0,3,23,0.0,4.93454087
0,3,24,0.0,4.93454087
0,3,25,0.0,4.93454087
0,3,26,0.0,4.93454087
0,3,27,0.0,4.93454087
0,3,28,0.0,4.93454087
0,3,29,0.0,4.93454087
0,3,30,0.0,4.93454087
0,3,31,0.0,4.93454087
0,3,32,0.0,4.93454087
0,3,33,0.0,4.93454087
0,3,34,0.0,4.93454087
0,3,35,0.0,4.93454087
0,3,36,0.0,4.93454087
0,3,37,0.0,4.93454087
0,3,38,0.0,4.93454087
0,3,39,0.0,4.93454087
0,3,40,0.0,4.93454087
0,3,41,0.0,4.93454087
0,3,42,0.0,4.93454087
0,3,43,0.0,4.93454087
0,3,44,0.0,4.93454087
0,3,45,0.0,4.93454087
0,3,46,0.0,4.93454087
0,3,47,0.0,4.93454087
0,3,48,,4.93454087
0,3,49,,4.93454087
0,3,50,,4.93454087
0,3,51,,4.93454087
0,3,52,,4.93454087
0,3,53,,4.93454087
0,3,54,,4.93454087
0,3,55,,4.93454087
0,3,56,,4.93454087
0,3,57,,4.93454087
0,3,58,,4.93454087
0,3,59,,4.93454087
0,3,60,,4.93454087
0,3,61,,4.93454087
0,3,62,,4.93454087
0,3,63,0.0,4.93454087
0,3,64,0.0,4.93454087
0,3,65,0.0,4.93454087
0,3,66,0.0,4.93454087
0,3,67,,4.93454087
0,3,68,,4.93454087
0,3,69,,4.93454087
0,3,70,,4.93454087
0,3,71,,4.93454087
0,3,72,0.0,4.93454087
0,3,73,0.0,4.93454087
0,3,74,0.0,4.93454087
0,3,75,,4.93454087
0,3,76,,4.93454087
0,3,77,0.0,4.93454087
0,3,78,0.0,4.93454087
0,3,79,0.0,4.93454087
0,3,80,0.0,4.93454087
0,3,81,0.0,4.93454087
0,3,82,0.0,4.93454087
0,3,83,0.0,4.93454087
0,3,84,0.0,4.93454087
0,3,85,0.0,4.93454087
0,3,86,0.0,4.93454087
0,3,87,0.0,4.93454087
0,3,88,0.0,4.93454087
0,3,89,0.0,4.93454087
0,3,90,,4.93454087
0,4,0,,4.93454087
0,4,1,,4.93454087
0,4,2,,4.93454087
0,4,3,,4.93454087
0,4,4,,4.93454087
0,4,5,,4.93454087
0,4,6,,4.93454087
0,4,7,,4.93454087
0,4,8,,4.93454087
0,4,9,,4.93454087
0,4,10,0.0,4.93454087
0,4,11,0.0,4.93454087
0,4,12,0.0,4.93454087
0,4,13,0.0,4.93454087
0,4,14,0.0,4.93454087
0,4,15,0.0,4.93454087
0,4,16,0.0,4.93454087
0,4,17,0.0,4.93454087
0,4,18,0.0,4.93454087
0,4,19,0.0,4.93454087
0,4,20,0.0,4.93454087
0,4,21,0.0,4.93454087
0,4,22,0.0,4.93454087
0,4,23,0.0,4.93454087
0,4,24,0.0,4.93454087
0,4,25,0.0,4.93454087
0,4,26,0.0,4.93454087
0,4,27,0.0,4.93454087
0,4,28,0.0,4.93454087
0,4,29,0.0,4.93454087
0,4,30,0.0,4.93454087
0,4,31,0.0,4.93454087
0,4,32,0.0,4.93454087
0,4,33,0.0,4.93454087
0,4,34,0.0,4.93454087
0,4,35,0.0,4.93454087
0,4,36,0.0,4.93454087
0,4,37,0.0,4.93454087
0,4,38,0.0,4.93454087
0,4,39,0.0,4.93454087
0,4,40,0.0,4.93454087
0,4,41,0.0,4.93454087
0,4,42,0.0,4.93454087
0,4,43,0.0,4.93454087
0,4,44,0.0,4.93454087
0,4,45,0.0,4.93454087
0,4,46,0.0,4.93454087
0,4,47,0.0,4.93454087
0,4,48,,4.93454087
0,4,49,,4.93454087
0,4,50,,4.93454087
0,4,51,,4.93454087
0,4,52,,4.93454087
0,4,53,,4.93454087
0,4,54,,4.93454087
0,4,55,,4.93454087
0,4,56,,4.93454087
0,4,57,,4.93454087
0,4,58,,4.93454087
0,4,59,,4.93454087
0,4,60,,4.93454087
0,4,61,,4.93454087
0,4,62,,4.93454087
0,4,63,0.0,4.93454087
0,4,64,0.0,4.93454087
0,4,65,,4.93454087
0,4,66,,4.93454087
0,4,67,,4.93454087
0,4,68,,4.93454087
0,4,69,,4.93454087
0,4,70,,4.93454087
0,4,71,,4.93454087
0,4,72,,4.93454087
0,4,73,,4.93454087
0,4,74,,4.93454087
0,4,75,,4.93454087
0,4,76,,4.93454087
0,4,77,,4.93454087
0,4,78,0.0,4.93454087
0,4,79,0.0,4.93454087
0,4,80,0.0,4.93454087
0,4,81,0.0,4.93454087
0,4,82,0.0,4.93454087
0,4,83,0.0,4.93454087
0,4,84,0.0,4.93454087
0,4,85,0.0,4.93454087
0,4,86,0.0,4.93454087
0,4,87,0.0,4.93454087
0,4,88,0.0,4.93454087
0,4,89,0.0,4.93454087
0,4,90,,4.93454087
0,5,0,,4.93454087
0,5,1,,4.93454087
0,5,2,,4.93454087
0,5,3,,4.93454087
0,5,4,,4.93454087
0,5,5,,4.93454087
0,5,6,,4.93454087
0,5,7,,4.93454087
0,5,8,,4.93454087
0,5,9,,4.93454087
0,5,10,0.0,4.93454087
0,5,11,0.0,4.93454087
0,5,12,0.0,4.93454087
0,5,13,0.0,4.93454087
0,5,14,0.0,4.93454087
0,5,15,0.0,4.93454087
0,5,16,0.0,4.93454087
0,5,17,0.0,4.93454087
0,5,18,0.0,4.93454087
0,5,19,0.0,4.93454087
0,5,20,0.0,4.93454087
0,5,21,0.0,4.93454087
0,5,22,0.0,4.93454087
0,5,23,0.0,4.93454087
0,5,24,0.0,4.93454087
0,5,25,0.0,4.93454087
0,5,26,0.0,4.93454087
0,5,27,0.0,4.93454087
0,5,28,0.0,4.93454087
0,5,29,0.0,4.93454087
0,5,30,0.0,4.93454087
0,5,31,0.0,4.93454087
0,5,32,0.0,4.93454087
0,5,33,0.0,4.93454087
0,5,34,0.0,4.93454087
0,5,35,0.0,4.93454087
0,5,36,0.0,4.93454087
0,5,37,0.0,4.93454087
0,5,38,0.0,4.93454087
0,5,39,0.0,4.93454087
0,5,40,0.0,4.93454087
0,5,41,0.0,4.93454087
0,5,42,0.0,4.93454087
0,5,43,0.0,4.93454087
0,5,44,,4.93454087
0,5,45,,4.93454087
0,5,46,,4.93454087
0,5,47,,4.93454087
0,5,48,,4.93454087
0,5,49,,4.93454087
0,5,50,,4.93454087
0,5,51,,4.93454087
0,5,52,,4.93454087
0,5,53,,4.93454087
0,5,54,,4.93454087
0,5,55,,4.93454087
0,5,56,,4.93454087
0,5,57,,4.93454087
0,5,58,,4.93454087
0,5,59,,4.93454087
0,5,60,,4.93454087
0,5,61,,4.93454087
0,5,62,0.0,4.93454087
0,5,63,0.0,4.93454087
0,5,64,0.0,4.93454087
0,5,65,0.0,4.93454087
0,5,66,,4.93454087
0,5,67,,4.93454087
0,5,68,,4.93454087
0,5,69,,4.93454087
0,5,70,,4.93454087
0,5,71,,4.93454087
0,5,72,,4.93454087
0,5,73,,4.93454087
0,5,74,,4.93454087
0,5,75,,4.93454087
0,5,76,,4.93454087
0,5,77,,4.93454087
0,5,78,0.0,4.93454087
0,5,79,0.0,4.93454087
0,5,80,0.0,4.93454087
0,5,81,0.0,4.93454087
0,5,82,0.0,4.93454087
0,5,83,0.0,4.93454087
0,5,84,0.0,4.93454087
0,5,85,0.0,4.93454087
0,5,86,0.0,4.93454087
0,5,87,0.0,4.93454087
0,5,88,0.0,4.93454087
0,5,89,0.0,4.93454087
0,5,90,,4.93454087
0,6,0,,4.93454087
0,6,1,,4.93454087
0,6,2,,4.93454087
0,6,3,,4.93454087
0,6,4,,4.93454087
0,6,5,,4.93454087
0,6,6,,4.93454087
0,6,7,,4.93454087
0,6,8,,4.93454087
0,6,9,,4.93454087
0,6,10,0.0,4.93454087
0,6,11,0.0,4.93454087
0,6,12,0.0,4.93454087
0,6,13,0.0,4.93454087
0,6,14,0.0,4.93454087
0,6,15,0.0,4.93454087
0,6,16,0.0,4.93454087
0,6,17,0.0,4.93454087
0,6,18,0.0,4.93454087
0,6,19,0.0,4.93454087
0,6,20,0.0,4.93454087
0,6,21,0.0,4.93454087
0,6,22,0.0,4.93454087
0,6,23,0.0,4.93454087
0,6,24,0.0,4.93454087
0,6,25,0.0,4.93454087
0,6,26,0.0,4.93454087
0,6,27,0.0,4.93454087
0,6,28,0.0,4.93454087
0,6,29,0.0,4.93454087
0,6,30,0.0,4.93454087
0,6,31,0.0,4.93454087
0,6,32,0.0,4.93454087
0,6,33,0.0,4.93454087
0,6,34,0.0,4.93454087
0,6,35,,4.93454087
0,6,36,,4.93454087
0,6,37,,4.93454087
0,6,38,,4.93454087
0,6,39,0.0,4.93454087
0,6,40,0.0,4.93454087
0,6,41,0.0,4.93454087
0,6,42,,4.93454087
0,6,43,,4.93454087
0,6,44,,4.93454087
0,6,45,,4.93454087
0,6,46,,4.93454087
0,6,47,,4.93454087
0,6,48,,4.93454087
0,6,49,,4.93454087
0,6,50,,4.93454087
0,6,51,,4.93454087
0,6,52,,4.93454087
0,6,53,,4.93454087
0,6,54,,4.93454087
0,6,55,,4.93454087
0,6,56,,4.93454087
0,6,57,,4.93454087
0,6,58,,4.93454087
0,6,59,,4.93454087
0,6,60,,4.93454087
0,6,61,,4.93454087
0,6,62,0.0,4.93454087
0,6,63,0.0,4.93454087
0,6,64,0.0,4.93454087
0,6,65,0.0,4.93454087
0,6,66,,4.93454087
0,6,67,,4.93454087
0,6,68,,4.93454087
0,6,69,,4.93454087
0,6,70,,4.93454087
0,6,71,,4.93454087
0,6,72,,4.93454087
0,6,73,,4.93454087
0,6,74,,4.93454087
0,6,75,,4.93454087
0,6,76,,4.93454087
0,6,77,,4.93454087
