WMO,CYCLE_NUMBER,critical_pres,total_area_aou,integrated_poc,LATITUDE,LONGITUDE,TIME
4903365,111,260,1509.7572853217946,51.122593988508974,56.859,-38.2839,2024-08-17
4903365,25,580,278.6951921344061,12.887291509386028,61.006,-38.692,2022-04-10
4903365,26,500,587.9081243957974,33.354332436689404,61.477,-37.075,2022-04-20
4903365,15,460,806.3653133769151,32.88076003331859,58.357,-39.738,2021-12-31
4903365,77,260,243.18834747537088,63.45278395925611,55.7492,-39.9908,2023-09-12
4903365,45,420,321.46617417841696,123.36313574913618,58.426,-40.751,2022-10-27
4903365,75,300,517.691711179692,40.559246405443815,56.0949,-39.0377,2023-08-23
4903365,83,660,569.213225325187,27.267330739532945,54.9692,-38.3282,2023-11-11
4903365,99,220,132.69450256581186,68.51487453086655,55.372,-39.49,2024-04-19
4903365,16,220,0,7.949219484589239,57.575,-39.993,2022-01-10
6901775,58,220,1566.062354855792,176.86812576858557,35.02535833333334,23.296881666666668,2019-03-23
6901775,248,220,128.73143498881836,192.15379226365417,37.167168333333336,19.189656666666668,2022-04-14
6901775,74,340,1295.2926329692564,47.4745019582164,36.354306666666666,21.997756666666668,2019-07-05
6903549,37,500,549.0780203270789,25.057532715961976,67.00420166666666,-4.970251666666667,2019-11-11
